Notícia,Veredito
"Observe que o pH do coronavírus varia de 5,5 a 8,5. Portanto, tudo o que precisamos fazer para eliminar o vírus é consumir mais alimentos alcalinos acima do nível de acidez do vírus. Tais como Bananas e Limão verde - 9,9 pH; Limão Amarelo - 8,2 pH; Abacate – 15,6 pH; Alho – 13,2 pH; Manga – 8,7 pH; Tangerina – 8,5 pH; Abacaxi – 12,7 pH; Agrião – 22,7 pH; Laranjas – 9,2 pH",Falso
"“A pandemia do novo coronavírus nos deixou um déficit de 1,5 mil vagas de desemprego, de empregos formais na nossa cidade”",Falso
"Os médicos alemães não obedeceram à OMS, que manda não fazer autópsias de mortes por coronavírus e determinou que NÃO se trata de um VÍRUS, mas de um BACTER",Falso
Dilma Rousseff diz que vacina chinesa contra o coronavírus vai funcionar porque o vírus veio da China e funciona,Falso
"Vacina contra o coronavírus tem como intenção reduzir a população mundial, além de provocar câncer, alterações genéticas, problemas de fertilidade e “homossexualismo”.",Falso
"Vacina contra o coronavírus provoca câncer, alterações genéticas, problemas de fertilidade e homossexualismo",Falso
"Eles [do Instituto Butantan] pegam o adenovírus, pegam a proteína do coronavírus, e colocam nesse adenovírus",Falso
"Eles querem implantar o próprio vírus nas pessoas, olha que loucura. Estão querendo pegar o vírus, atenuar ele e aplicar nas pessoas, para que as pessoas sejam contaminadas através de vacina pelo coronavírus",Falso
"Corona-vac tem 5,35% de efeitos colaterais = 11,5 milhões de possíveis mortes, só no Brasil! Covid-19 mata menos que a vacina!",Falso
"➙ Observe que o pH do Coronavírus varia de 5,5 á 8,5. Portanto - tudo o que precisamos fazer - para eliminar o vírus é consumirmos mais alimentos alcalinos, acima do nível de acidez do vírus. Tais como; ◉ Bananas Limão verde → 9,9 pH ◉ Limão Amarelo → 8,2 pH ◉ Abacate - 15,6 pH ◉ Alho - 13,2 pH ◉ Manga - 8,7 pH ◉ Tangerina - 8,5 pH ◉ Abacaxi - 12,7 pH ◉ Agrião - 22,7 pH ◉ Laranjas - 9,2 pH",Falso
Nenhuma vacina de coronavírus passou pela fase pré-clínica,Falso
"O médico Anthony Wong alerta sobre as fases puladas na criação das vacinas contra o coronavírus e o baixo número de voluntários, além de outros abusrdos da vacina chinesa",Falso
"""Observe que o pH do coronavírus varia de 5,5 a 8,5. Portanto, tudo o......",Falso
João Doria disse que não irá permitir 'que aqueles que não tomem a vacina passem corona para os que tomaram',Falso
Não vou permitir que aqueles que não tomem a vacina [da CoronaVac] passem corona para os que tomaram - Dória,Falso
"""O coronavírus, antes de alcançar o pulmão ele permanece na garganta ......",Falso
O coronavírus morre em temperaturas maiores que 36ºC.,Falso
Vacinas contra o novo coronavírus poderão causar danos genéticos irreversíveis e conterão nanopartículas de controle social,Falso
"“Após fazer CAMPANHA PARA RECEBER DOAÇÕES NA PANDEMIA, dinheiro que deveria ser implementado no combate ao coronavírus, a FUNDAÇÃO FIOCRUZ pretende ‘torrar’ R$ 700 MIL em ‘material para festividades e homenagens’.”",Falso
Coronavírus não matou nenhum político,Falso
"Orientações do RHP - (Real Hospital Português) sobre como enfrentar melhor o coronavírus: 01. Tome Vit C; 02. Vitamina E; 03. 10:00 - 11h luz solar por 15-20 minutos; 04. Coma ovos; 05. Descanse / durma de 7 a 8 horas; 06. Beba 1,5L de água diariamente e todas as refeições devem ser quentes (não frias). É o que fazemos no hospital",Falso
Apenas a vestimenta laboratorial é adequada como proteção contra o novo coronavírus,Falso
"Covid-19 é o nome de um plano para reduzir a população, tomar vacinas enfraquece o sistema imunológico, os testes não detectam com precisão o novo coronavírus, segundo o doutor Roberto Petrella",Falso
"No corpo humano podem existir estes coronavírus. O teste PCR detecta qualquer um deles, sem distinção, mesmo que não seja recente porque detecta os restos virais.",Falso
"“Os americanos descobriram que só 6% dos mortos foram mortos exclusivamente pelo coronavírus. Os outros todos foram comorbidades, inclusive gente que já ia morrer”",Falso
"máscara de proteção contra o coronavírus aumenta a taxa de CO2 no cérebro, eleva o risco de trombose e altera a flora da boca e do intestino",Falso
"“Governo federal decreta estado de emergência para conter coronavírus no Brasil. Bolsonaro também enviou ao Legislativo PL que cria quarentena e torna exames, vacinação e tratamento obrigatórios. 4.fev.2020 às 13h15. Atualizado: 4.fev.2020 às 19h44”",Verdadeiro
O coronavírus afetou mais a população preta e parda do que a população branca [em São Paulo],Verdadeiro
"“Houve diminuição da quantidade de leitos referenciados para coronavírus na cidade: eram 31 leitos para 100 mil habitantes, hoje é 19,5 leitos”",Verdadeiro
"“Enquanto a população sofria com o coronavírus, a Polícia Federal fez sete operações na gestão do PSB por suspeita de desvio [de verba]”",Verdadeiro
A taxa de mortalidade deste coronavírus é três vezes menos letal que o de 2003 (10%) e dez vezes menos letal que o de 2012 (35%),Verdadeiro
“O gigantesco Poder Curativo da Lentilha. Depressão. Ansiedade. Obesidade. Esquizofrenia. Bipolaridade. Todas as formas de vícios. Sem nenhum efeito Colateral”.,Falso
Número de mortes por HIV é quatro vezes maior do que de covid-19,Falso
"Vacina de covid-19 causa câncer, danos genéticos ou 'homossexualismo'",Falso
GRAVIOLA – MATADOR NATURAL DE CÂNCER (10.000 VEZES MAIS FORTE DO QUE A QUIMIOTERAPIA),Falso
Produtos transgênicos causam câncer,Falso
"Meu bebê está morrendo de câncer, não estou pedindo nada além de suas orações, por favor, ajude a compartilhar com 5 grupos no Facebook para que possamos obter mais orações.",Falso
"Os adjuvantes podem causar Alzheimer, podem causar fibromialgia, podem causar uma série de fatores de doenças",Falso
"Estudem sobre adjuvantes de vacina e o mal que causam na população. Os adjuvantes podem causar Alzheimer, fibromialgia, uma série de doenças. As pessoas podem sofrer doenças genéticas. O vírus está sendo modificado geneticamente.",Falso
O papa Francisco fuma ao lado do ex-presidente da Bolívia Evo Morales,Falso
Foto mostra papa Francisco fumando maconha com Evo Morales.,Falso
Papa Francisco foi flagrado fumando junto a Evo Morales,Falso
O grande papa olhem para ele fumando maconha com evo morais não k não,Falso
"Podemos ter em casa os cuidados que são tomados nos hospitais. 1. Vitamina C-1000 mg 2. Vitamina E 3. Das 10h às 11h, estar ao sol durante 15 a 20 minutos 4. Refeição com ovo uma vez por dia 5. Descansar/dormir no mínimo 7-8 horas 6. Beber 1,5 litros de água diariamente 7. Todas as refeições devem ser quentes (não frias)",Falso
"➙ Conselho de hospitais de isolamento, podemos fazer em casa. ◉ Medicamentos que são tomados em hospitais de isolamento; • Vitamina C-1000 • Vitamina E (E) • Refeição de Ovo uma vez • Todas as refeições devem ser quentes (não frias). Isto é tudo o que fazemos nos hospitais para fortalecer o sistema imunológico",Falso
"Das 10h às 11h, estar no sol durante 15 a 20 minutos; refeição com ovo uma vez ao dia; descansar ou dormir no mínimo 7 ou 8 horas; beber 1,5 litro de água diariamente; todas as refeições devem ser quentes (não frias)",Falso
"E o limão com água morna elimina o vírus no início, antes de atingir os pulmões",Verdadeiro
Como saber que está infectado com o Covid-19: 1. Comichão na garganta 2. Garganta seca 3. Tosse seca 4. Alta temperatura 5. Falta de ar 6. Perda do olfato…,Verdadeiro
"O placebo não é capaz de matar uma pessoa, mas um teste de uma vacina [a CoronaVac] sim",Falso
“Fortaleza e o estado do Ceará tiveram quase 900 mil pessoas que morreram por câncer de mama em 2017.”,Falso
Uma publicação tornada viral no Facebook garante que os anti-transpir......,Falso
"Espalhou-se pelas redes sociais, através de múltiplas publicações, um......",Verdadeiro
"""É bom que não se ande aqui a brincar às mentirinhas políticas. Esta proposta de retirar os ovários a mulheres que abortam foi uma moção apresentada, e rejeitada, pelo partido.""",Verdadeiro
Médico morreu por efeitos adversos da vacina de Oxford,Falso
Vacina precisa de no mínimo dez anos de pesquisa,Falso
"“URGENTE: A Vacina Covid-19 é esterilização feminina, denunciam especialistas (...) Suspensão imediata de todos os estudos da vacina SARS CoV 2, em particular estudo BioNtech/Pfizer sobre BNT162b (número EudraCT 2020-002641-42). A vacina contém uma proteína spike chamada sincitina-1, vital para a formação da placenta humana em mulheres. Se a vacina funcionar de modo a formarmos uma resposta imunológica CONTRA a proteína spike, também estaremos treinando o corpo feminino para atacar a sincitina-1, o que pode levar à infertilidade em mulheres por um período não especificado (...).”",Falso
"Então o que a Austrália fez? Ela recomendou que toda a população tomasse a ivermectina. Todos tomaram e o que que acontece, a gente pode ver no gráfico, os casos despencaram de Covid-19 e por causa disso a ivermectina já está até sendo considerada por muitos entre aspas vacina contra o Covid-19",Falso
VOLUNTÁRIA DO TESTE DA VACINA COVID-19 TEVE REAÇÃO ADVERSA. [...] Foi voluntária em um estudo de VACINA COVID-19 e teve uma reação adversa grave. Ela não consegue andar ou trabalhar há quase 4 semanas por causa de enormes feridas sangrantes nos pés. Essas feridas são chamadas de Erupção Fixa por Drogas para aqueles que desejam se aprofundar um pouco mais em como isso acontece [...],Falso
Feridas nos pés mostradas em foto é reação adversa da vacina contra a Covid-19 da Pfizer.,Falso
É uma vacina RNA. É o que se denomina como infecção transmissível. Isso mudará fundamentalmente o DNA das pessoas,Falso
"Porque esta vacina terá nanopartículas, partículas nanocristalinas e eles são como pequenos robôs, pequenas antenas, e eles terão a capacidade de tirar os seus dados biométricos",Falso
"O que é ainda mais preocupante é que a Fundação Bill e Melindra Gates, em 26 de março de 2020, solicitou uma patente número 060606, para obter esses dados biométricos [por meio da vacina da Covid-19]",Falso
"E o que eu gosto menos nisso, ainda menos do que o habitual, relativamente aos metais tóxicos contidos nas vacinas, que literalmente transformam os nossos corpos numa antena, com 5G",Falso
"Ex-Vice-Presidente da Pfizer: ‘Não há necessidade de vacinas’, ‘a pandemia efetivamente acabou’",Falso
A pandemia acabou efetivamente,Falso
"To estudando muito essas vacinas e já avisei a Vivi. Vacina da China (...) é vacina genética. Nós estamos acostumados com vacina com um vírus vivo atenuado ou vírus morto, que são as vacinas seguras… essa genética é com DNA recombinante, procurem no Google",Falso
Não há absolutamente nenhuma necessidade de vacinas para extinguir a pandemia,Falso
"To estudando muito essas vacinas e já avisei a Vivi. (...) vacina de Oxford (...) são vacinas genéticas. Nós estamos acostumados com vacina com um vírus vivo atenuado ou vírus morto, que são as vacinas seguras… essa genética é com DNA recombinante, procurem no Google",Falso
Pandemia já acabou e não há necessidade de vacinas,Falso
"“Se você acredita que uma pessoa sem vacina pode fazer mal a uma pessoa com vacina, então você não acredita em vacinas”",Falso
Vacina chinesa mata homem após Dória gastar meio milhão em doses,Falso
"A vacina contra gripe e H1N1 que você toma é da Sinovac Biotech, que é chinesa!",Falso
FORNOS crematórios chegados da China na Argentina! Na calada da noite! Lá a vacina será a coronavac! Chegaram em todos os estados do país!,Falso
"Nós estamos com uma colega, médica, internada no Sul porque foi cobaia dessa vacina [CoronaVac] e hoje se encontra entubada",Falso
MÉDICA ENTRE A VIDA E MORTE POR TOMAR A VACINA DA CHINA !!! ESSA VACINA PODE MATAR SIM E CAUSAR DANOS IRREVERSÍVEIS À POPULAÇÃO,Falso
Um efeito adverso de uma vacina é irreversível e pelo resto da vida,Falso
"O que eu sou contra é não avisar à população que elas estão sendo testadas (sic), que estão sendo cobaias dessa vacina",Falso
Vacina chinesa mata voluntário depois de Dória já ter investido mais de meio milhão na compra de doses,Falso
Por que os laboratórios assinaram um termo dizendo que eles não são responsáveis por qualquer efeito adverso em qualquer cidadão brasileiro?,Falso
Médico que morreu após participar de testes da CoronaVac pode ter tido danos neurológicos,Falso
"""Costa rejeita que idosos com mais de 75 anos fiquem de fora das vacinas. Coisa que foi proposta pelo PS. Ou seja… é preciso ter muita lata! Disto não fala a oposição!""",Falso
"“Sua pele escureceu e bolhas estouraram pelo corpo, devido a destruição do fígado!! Vacina Chinesa causa cirrose aguda grave!!”",Falso
"""Covid-19 não é o nome do vírus. Significa certificado de identificação da vacinação com inteligência artificial""",Falso
Estamos com uma colega médica internada no Sul porque foi cobaia dessa vacina,Falso
"Há uma patente e um trabalho feito no MIT [Instituto de Tecnologia de Massachusetts] para criar uma tinta (...). E sob uma luz, seria capaz de ver quem foi vacinado, quem não foi",Verdadeiro
"To estudando muito essas vacinas e já avisei a Vivi. (...) vacina da Pfizer, americana patrocinada pelo Bill Gates,são vacinas genéticas. Nós estamos acostumados com vacina com um vírus vivo atenuado ou vírus morto, que são as vacinas seguras… essa genética é com DNA recombinante, procurem no Google",Verdadeiro
"Um fator importante para não contrair o vírus é beber água de 15 em 15 min. (..) Porque ao molhar a garganta se o vírus estiver ali, vai direto para o estômago, e não há bactéria ou vírus que resista ao suco gástrico",Falso
"""Médico avisa que 'pneumonias bacterianas estão aumentando' devido ao......",Falso
"Bom dia, Essa bactéria foi transmitida pela saliva do cachorro, olha o perigo q corre quando vc deixa o cachorro lamber sua boca",Falso
Lambida de cachorro causa infecção na boca,Falso
Venho pedir orações pela Isadora(aluna de uma irmã). Ela foi hospitalizada segunda-feira pela manhã com dor na perna e descobriram uma tromboflebite causada por uma bactéria,Falso
"""Máscaras fazem aumentar os casos, nenhuma novidade. Foi o que aconteceu noutros países antes de nós, como França e Espanha [...] se não respirares como deve ser, não inspiras oxigénio suficiente para o teu corpo funcionar bem. Além de germes e bactérias que ficam nas máscaras e que vais respirando""",Falso
"""Ambiente quente e húmido que se gera na máscara por conta do processo da respiração mais as bactérias e fungos presentes nas mãos, mais esporos aéreos filtrados pelas fibras das máscaras promove o desenvolvimento e proliferação de estafilococos""",Falso
“Já tínhamos [em Campo Grande] 32% de evasão escolar na capital”,Falso
“Campo Grande teve casos de Aedes aegypti até superior aos casos de Covid”,Falso
Um médico de Ribeirão Preto descobriu com células-tronco a cura da diabetes e a Anvisa não liberou,Falso
“Por que os infartos ocorrem com mais frequência no banheiro As pessoas não devem começar molhando cabeça a cabeça e os cabelos durante o banho porque essa é uma sequência inversa. Isso faz com que o corpo tente ajustar sua temperatura muito rapidamente por causa de nossa condição de sangue quente. [...]”,Falso
Reportagem do Bem Estar Anuncia: A Reversão da Diabetes é descoberta por Drauzio Varella,Falso
Espaço dedicado para os eleitores do Bolsonaro explicarem a retirada da INSULINA do SUS.,Falso
“Aprendendo a Verificar pressão alta ou baixa no caso de não ter aparelho por perto”.,Falso
"""E quando a Decathlon de Alfragide barra à entrada a obesos, hipertensos, idosos e PESSOAL DE SAÚDE??""",Falso
"Putin está sofrendo do Mal de Parkinson e pode deixar presidência da Rússia a pedido de namorada ginasta e atriz, revela site",Falso
"Médica recomenda administração de ivermectina, azitromicina e AAS para tratar Covid-19 antes mesmo de receber resultado de exames",Falso
Mortes da Covid-19 são causada por uma bactéria e não por um vírus e a doença pode ser curada com aspirina,Falso
"O tratamento correto para a Covid-19 seria com antibiótico, não com entubação.",Falso
Covid-19. Descoberta a cura. O problema não é respiratório e sim cardiologico. Descoberto por autópsias por médicos italianos. Trata-se com anticoagulantes.,Falso
Post levantava dúvidas ao comparar letalidade da covid-19 com outras doenças,Falso
Está a circular nas redes sociais um documentário sobre a SIDA que põ......,Falso
"E aqui está a bomba. Depois que alguém usou as credenciais para acessar documentos do vazamento de Wuhan, eles descobriram documentos mostrando a emenda do Coronavírus com componentes do HIV",Falso
"Foi encontrada uma Glicoproteína gp120 presente no vírus HIV, responsável por fazer a ligação do vírus com a célula do hospedeiro, nas análises do 'Coronavirus' feitas em laboratório. E segundo as análises, não é uma obra da 'natureza', muito difícil ser um caso fortuito",Falso
Padre com HIV que estuprou quase 30 crianças foi perdoado pelo Papa Francisco,Falso
"Meu nome é Patrícia, tenho 17 anos, e encontro-me no momento quase sem forças, mas pedi para a enfermeira Dane minha amiga, para escrever esta carta que será endereçada aos jovens de todo o Brasil, antes que seja tarde demais. (...) OBS.: Patrícia encontrava-se internada no Hospital Universitário de Florianópolis e descreve a enfermeira Danelise que Patrícia veio a falecer 14 horas mais tarde que escreveram essa carta, de parada cardíaca respiratória em conseqüência da AIDS.",Falso
Aids foi criada em laboratório dos Estados Unidos como arma biológica,Falso
"Urgente cuidado tem pessoas colocando sangue com aids dentro das frutas, compartilhe. Se você perceber que a fruta contém uma cor vermelho anormal não coma; muitas frutas estão sendo injetadas sangue contendo os vírus HIV/AIDS",Falso
Frutas injetadas com sangue contaminado podem transmitir vírus do HIV,Falso
“Atenção não comprem bananas do Pingo Doce porque estão injetadas com sangue. Partilhem o máximo que puderem por favor”,Falso
"""Um grupo está em várias cidades abordando as pessoas para que elas façam a medição da glicose (...). Este suposto teste está passando o vírus HIV"".",Falso
"(...) O número de casos de HIV sobe, e o número de [casos de] Aids cai",Verdadeiro
"Bom dia meus queridos. Quero compartilhar com vcs o que aconteceu aqui na minha casa esta semana! Estávamos com sintomas fortíssimos do vírus covid-19, Dor na garganta, Febre, Falta de ar, Cansaço até para falar, Dor de cabeça e diarréia. Primeiro Eu, depois minha filha, meu neto. Começamos um tratamento em casa, e o resultado foi incrível, graças a Deus. Quero compartilhar com vcs, detalhe indico para meus amigos para fazerem mesmo sem sintomas, para previnir é ÓTIMO! ALHO PICADO, REFOGADINHO NA MANTEIGA Para comer 2 vezes ao dia.",Falso
"Não aplique xampu na cabeça porque os poros da cabeça estão abertos durante a menstruação e podem causar dor de cabeça, é muito perigoso e esse efeito pode ser sentido quando você é jovem e depois quando fica mais velho",Falso
"""Os vírus que são supostamente ""tão agressivos"" apresentam alguns sintomas nos pacientes porque o corpo libera alarmes de um intruso (febre, dor de cabeça, vômito, etc.) e de acordo com a teoria de Koch a resposta [sobre se os assintomáticos são casos reais de positivos] é NÃO.""",Falso
"""Tosse com sangue, olhos inchados, fadiga, tosse com catarro espesso, arrepios, dor de cabeça, diarreia, nariz entupido, náusea, dor articular, falta de ar, febre são os principais sintomas da Covid-19""",Falso
Não coma pepino durante a menstruação porque a seiva presente no pepino pode bloquear a menstruação (perda de sangue) na parede uterina e pode causar esterilidade,Falso
"Durante a menstruação, não beba água gelada, coma pepino ou aplique xampu na cabeça",Falso
Não beba água gelada (...) ou coma coco durante a menstruação,Falso
"Fazer estas atividades durante o período menstrual pode causar ""câncer de útero"" ou ""esterilidade""",Falso
Álcool tira o efeito da pílula anticoncepcional,Falso
Demora horas para o álcool sair completamente do organismo,Verdadeiro
Misturar álcool e antialérgico causa efeitos colaterais,Verdadeiro
Escorpião-amarelo filhote é mais venenoso que o adulto da mesma espécie,Falso
"Nunca mantenha cebolas fatiadas para serem usadas no dia seguinte, mesmo que colocadas em sacos fechados, herméticos ou na geladeira. Seu consumo deve ser imediato, vez que pode ser um perigo consumí-las a posteriori.",Falso
CERVEJA OU VENENO FIQUE POR DENTRO:::::O elemento encontrado na Backer ADULTERADA CRIMINALMENTE dietilenoglicol é utilizado largamente pelas grandes companhias para acelerar o ponto de ebulição da água da cerveja.,Falso
"PROTEJAM-SE E PROTEJAM OUTRAS VIDAS!!!!!!!!! LIMÃO NO COPO - avisem os filhos, amigos, irmãos, enfim todos Não guardem o limão depois de cortado, nem na geladeira ..",Falso
"Tão dando doce pras crianças com veneno. Muita criança, breve, breve, vai passar no repórter, com certeza, porque tá chegando muita criança. É muita criança.",Falso
"""O presidente de Madagascar afirmou que a Organização Mundial da Saúde (OMS) lhe ofereceu 20 milhões de dólares para adicionar veneno à bebida, à base de plantas, que eles fabricaram para curar o Covid""",Falso
"""Você sabe o que é o Aspartame? O veneno livremente comercializado.""",Falso
"""É perigoso cortar uma cebola e consumi-la no dia seguinte. A cebola se torna altamente venenosa, mesmo depois de uma noite única, e cria bactérias tóxicas"".",Falso
"Conteúdo verificado: Um vídeo com informações falsas sobre a covid-19. Nele, uma médica afirma que a doença tem cura: um coquetel de hidroxicloroquina, azitromicina e zinco. Ela também diz que curou mais de 350 pessoas e que as máscaras são desnecessárias. As imagens foram feitas nos Estados Unidos e compartilhadas nos perfis do presidente Donald Trump e de Madonna. Uma versão editada e legendada em português da gravação foi compartilhada pelo Twitter de uma apoiadora do presidente Jair Bolsonaro (sem partido).",Falso
Autópsias em vítimas apontam que coronavírus não era o problema principal,Falso
"Conteúdo verificado: Post do site Sappno afirma que estudo provou que o uso de cloroquina e azitromicina é responsável pela cura de 98,7% dos pacientes com covid-19 em um hospital francês",Falso
"Cocaína, loló e chá de erva doce curam coronavírus",Falso
"Remédio feito com pó de pimenta preta, mel e suco de gengibre foi aprovado pela OMS como cura da Covid-19",Falso
Comunicado sobre coronavírus [da Igreja Universal]. Informamos que as reuniões de cura de doenças estão canceladas por causa dessa doença,Falso
Estudo de 2005 comprovou cura da infecção por coronavírus com cloroquina,Falso
"Boas notícias! Vacina contra o vírus Corona (sic) pronta. Capaz de curar o paciente dentro de 3 horas após a injeção. Tiremos o chapéu para os cientistas dos EUA. No momento, Trump anunciou que a Roche Medical Company lançará a vacina no próximo domingo e milhões de doses estão prontas!",Falso
"Médico diz em vídeo que é possível tratar a Covid-19 com o uso de vitaminas e medicamentos como ivermectina, hidroxicloroquina e azitromicina.",Falso
A Itália encontrou a cura do coronavírus COVID-19,Falso
O presidente de 65 anos curado da Covid-19 com a cloroquina!,Falso
"CURADO POR CLOROQUINA ! Acabei de sair do Hosp. Unimed da Barra, onde meu primo Antonio Carlos de 67 anos, há 16 dias foi detectado com o COVID-19 e hoje após tratamento com CLOROQUINA, está CURADO.",Falso
Israel descobriu a cura para coronavírus,Falso
"Acaba de ser anunciado um estudo americano que a hidroxicloroquina, o antimalária, que a gente tem muito aqui no Brasil, é eficaz contra o coronavírus, a Covid-19.",Falso
Substância DCA cura câncer e está sendo bloqueada pela indústria farmacêutica,Falso
"Esse vírus tem cura e se chama hidroxicloroquina, zinco e zithromax (azitromicina)",Falso
Roche lança vacina capaz de curar covid-19 em três horas,Falso
URGENTE! ISRAEL descobriu a cura para o CORONAVIRUS.... Vacina.,Falso
Tomar água em jejum cura câncer e outras doenças,Falso
"Receita de jambu, limão e alho cura coronavírus",Falso
Câncer é fungo e pode ser curado com bicarbonato de sódio?,Falso
"BOAS NOTÍCIAS!!! O vírus Corona de Wuhan pode curar-se por uma tigela de água de alho recém-fervida. O velho médico chinês provou sua eficácia. Muitos pacientes também provaram ser eficazes. RECEITA: pegue oito (8) dentes de alho picados, adicione sete (7) xícaras de água e deixe ferver. Coma dois 2 dentes de alho e beba a água fervida do alho juntamente com os fervidos. Melhorado e curado durante a noite.",Falso
Frade famoso divulga a cura do câncer,Falso
Cuba desenvolveu vacina contra coronavírus,Falso
"Aplicar óleo no umbigo cura a secura dos olhos, a vista deficiente, o pâncreas, os calcanhares e lábios rachados, mantém a cara brilhante, o cabelo brilhante, a dor de joelho, os arrepios, o torpor, as dores nas articulações.",Falso
"“Finalmente, um estudante indiano da Universidade PONDICHERRY, chamado RAMU (...)provou que, ao adicionar 1 colher de sopa de pimenta do reino em pó, 2 colheres de sopa de mel e gengibre por 5 dias consecutivos, isso removeria os efeitos da coroa e finalmente desaparecer à 100%.”",Falso
"""Será que os ETs finalmente querem nos ajudar dando a fórmula para vencer a Pandemia que tanta gente está a matar?""",Falso
"“ITALIA FOI A CURA PARA O CORONAVIRUS. Os médicos italianos desobedecem à lei mundial da saúde da OMS, para não realizar autópsias em pessoas que morreram de coronavírus, descobrindo que NÃO é um VÍRUS, mas sim uma BACTÉRIA, que causa a morte.”",Falso
"Cientista espanhola diz: Vocês dão 1 milhão de euros por mês a um futebolista e a um cientista dão 1,800 euros por mês. Agora que buscam a cura para este vírus, procurem o Messi ou o Cristiano Ronaldo para que encontrem"".",Falso
"""Boas notícias! Vacina contra o vírus corona pronta. Capaz de curar o paciente 3 horas após à injeção. Tiremos o chapéu para os cientistas dos EUA. No momento, Trump anunciou que a Roche Medical Company lançará a vacina no próximo domingo e milhões de doses estão prontas!""",Falso
"Em entrevista à Rádio Portalegre o presidente da Junta de Freguesia de Cabeço de Vide, João Olaia, acredita que a água das Termas de Cabeço de Vide possa ter “algum efeito” sobre o novo coronavírus, pelo facto de ser muito alcalina, com um pH de 11,50, bem acima das de consumo diário.",Falso
“Um vídeo de uma família mexicana nos Estados Unidos afirmava que foram curados com um remédio caseiro: três aspirinas de 500 gr dissolvidas em sumo de limão com mel tomado quente e no dia seguinte estavam bem.”,Falso
"""O vírus Corona de Wuhan pode ser curado por uma tigela de água de alho recém-fervida! O velho médico chinês provou sua eficácia. Muitos pacientes também provaram que isso é eficaz.""",Falso
"“*B A N A N A S*. Nunca esqueça a banana na geladeira! Isto é interessante. Depois de ler isto, você nunca vai olhar para uma banana da mesma maneira novamente.",Falso
Lula está com depressão e tem crises de choro A informação foi dada pelos agentes da Polícia Federal que acompanham a rotina de Lula na prisão. Foi relatado inclusive que o ex-presidente está tomando antidepressivos e tem crises de choro.,Falso
"O primeiro-ministro tem vindo a ser criticado por, a propósito do esc......",Falso
Morre policial militar baleado durante assalto em Criciúma.,Falso
"MORRE POLICIAL BALEADO EM CRICIÚMA. Durante a troca de tiros entre assaltantes e policiais, nesta madrugada em Criciúma SC. O soldado da Polícia Militar, Jeferson Luiz Esmeraldino foi atingido e precisou ser internado no hospital Unimed, e posteriormente transferido para o Hospital São José. Ele passou por três cirurgias, perdeu muito sangue e acabou não resistindo",Falso
"FUNCIONÁRIO DA FUNERÁRIA, QUE TIROU FOTO DO CORPO DE MARADONA,FOI DEMITIDO NO DIA SEGUINTE* *E NA MANHÃ DESSA SEXTA-FEIRA 27/11/2020* *FOI ENCONTRADO MORTO",Falso
"Prefeito de Porto Feliz (SP) se reelegeu por suposto tratamento precoce de 100% da população com hidroxicloroquina, sem registrar mortes após adoção do protocolo",Falso
Dados de cartórios mostram que crescimento de mortes em 2020 está dentro da média histórica.,Falso
[A quantidade] de óbitos [por Covid-19] permanece a mesma,Falso
Máscaras podem baixar imunidade e congestionar pulmões O acúmulo de líquido nos pulmões pode ser muito difícil de tratar e pode resultar em morte em casos graves de pneumonia e outras doenças,Falso
"Porto Feliz/SP, cidade onde 100% da população foi tratada preventivamente com a hidroxicloroquina, obtendo êxito extraordinário, nenhuma morte de covid 19",Falso
"A morte de um voluntário nos testes da vacina de Oxford, em outubro, teria sido provocada pelo imunizante",Falso
Em Detroit foi aberto um processo eleitoral. 4.788 registros duplicados; 32.519 votos a mais do que votantes; 2.503 pessoas mortas registradas; Um votante nascido em 1823,Falso
21 mil pessoas mortas votaram na Pensilvânia,Falso
Denúncia sobre 21 mil mortos em cadastro de eleitores da Pensilvânia prova fraude na votação nos EUA,Falso
"Um adolescente se suicidou em Chimbote, no Peru, devido ao jogo Free Fire",Falso
21 mil falecidos votaram em Joe Biden na Pensilvânia!,Falso
INTERESSANTE: Muitos acreditam que o vírus da Covid-19 tem uma vibração de 5.5 hz e morre acima de 25.5 hz.,Falso
Morre médico chinês testado com vacina chinesa Covid-19,Falso
"""Biden foi o mais votado da história. O primeiro eleitor nasceu em 1823. Outros em 1900. Alguns votaram mesmo já mortos. Outros votaram mais de uma vez. E tudo pelo correio. Como o correio deles funciona. Fiquei impressionado""",Falso
"“A Covid tem uma vibração de 5,5 hz e morre acima de 25,5 hz. Para os seres humanos com vibração mais alta, o vírus é uma gripe simples.”",Falso
“Brasil de Luto: Morre Miguel Falabella após graves complicações da Covid-19 ‘14 dias internado na UTI (...)’”,Verdadeiro
"Quando a gente vê a quantidade [de mortes] por 100 mil habitantes, São Paulo é a 16ª entre as 27 capitais",Verdadeiro
"“Coreia do Sul, um país inteiro que teve menos mortes [por Covid-19] que a cidade de São Paulo (...)”",Verdadeiro
"“Curitiba teve, esse ano, 18 mortos [no local do acidente] no trânsito e 1.842 feridos”",Verdadeiro
[Minas Gerais tem] o menor índice de morte por habitante por Covid,Verdadeiro
"Na cidade como um todo, a gente teve uma diminuição na quantidade de óbitos em acidentes",Verdadeiro
"“Apesar de Belo Horizonte ser a cidade do Brasil com mais de 1 milhão de habitantes e com menos mortes [por Covid-19], a pandemia está aí”",Verdadeiro
São Paulo hoje deve estar com 6 mortes [no trânsito] por 100 mil habitantes,Verdadeiro
Uso de máscaras durante exercícios físicos pode levar à falta de oxigênio,Falso
